Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Wed Mar 19 16:24:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,200,201,Wed Mar 19 16:24:21 EDT 2008,Mon Mar 17 15:23:10 EDT 2008,---,Wed Mar 19 16:24:40 EDT 2008
Wed Mar 19 16:24:40 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:25:00 EDT 2008
Wed Mar 19 16:25:00 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:25:20 EDT 2008
Wed Mar 19 16:25:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:25:40 EDT 2008
Wed Mar 19 16:25:40 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:26:00 EDT 2008
Wed Mar 19 16:26:00 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:26:20 EDT 2008
Wed Mar 19 16:26:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:26:40 EDT 2008
Wed Mar 19 16:26:40 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:27:00 EDT 2008
Wed Mar 19 16:27:00 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:27:20 EDT 2008
Wed Mar 19 16:27:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:27:40 EDT 2008
Wed Mar 19 16:27:40 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:28:00 EDT 2008
Wed Mar 19 16:28:01 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:28:21 EDT 2008
Wed Mar 19 16:28:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:28:41 EDT 2008
Wed Mar 19 16:28:41 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:29:01 EDT 2008
Wed Mar 19 16:29:01 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:29:21 EDT 2008
Wed Mar 19 16:29:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:29:41 EDT 2008
Wed Mar 19 16:29:41 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:30:01 EDT 2008
Wed Mar 19 16:30:01 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:30:21 EDT 2008
Wed Mar 19 16:30:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:30:41 EDT 2008
Wed Mar 19 16:30:41 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:31:01 EDT 2008
Wed Mar 19 16:31:01 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:31:21 EDT 2008
Wed Mar 19 16:31:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:31:41 EDT 2008
Wed Mar 19 16:31:41 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:32:01 EDT 2008
Wed Mar 19 16:32:01 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:32:21 EDT 2008
Wed Mar 19 16:32:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:32:41 EDT 2008
Wed Mar 19 16:32:41 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:33:01 EDT 2008
Wed Mar 19 16:33:01 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:33:21 EDT 2008
Wed Mar 19 16:33:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Mar 19 16:33:41 EDT 2008
