Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = -1
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Wed Jan 14 09:15:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,200,201,Wed Jan 14 09:15:24 EST 2009,Wed Nov 05 17:21:23 EST 2008,---,Wed Jan 14 09:15:43 EST 2009
Wed Jan 14 09:15:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_DEP.txt,http://localhost/RBNB/B200/B200_DEP.txt,200,201,Wed Jan 14 09:15:24 EST 2009,Wed Nov 12 12:47:12 EST 2008,---,Wed Jan 14 09:17:23 EST 2009
Wed Jan 14 09:15:24 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_ASR.txt,http://localhost/RBNB/B200/B200_ASR.txt,404,---,---,---,---,Wed Jan 14 09:17:24 EST 2009
Wed Jan 14 09:15:43 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Jan 14 09:16:03 EST 2009
Wed Jan 14 09:16:03 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Jan 14 09:16:23 EST 2009
Wed Jan 14 09:16:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Jan 14 09:16:43 EST 2009
Wed Jan 14 09:16:43 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Jan 14 09:17:03 EST 2009
Wed Jan 14 09:17:03 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Jan 14 09:17:23 EST 2009
Wed Jan 14 09:17:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Wed Jan 14 09:17:43 EST 2009
Wed Jan 14 09:17:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_DEP.txt,http://localhost/RBNB/B200/B200_DEP.txt,304,---,---,---,---,Wed Jan 14 09:19:23 EST 2009
