Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Fri Jan 09 13:47:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,200,201,Fri Jan 09 13:47:47 EST 2009,Wed Oct 01 10:08:31 EDT 2008,---,Fri Jan 09 13:48:18 EST 2009
Fri Jan 09 13:48:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:48:48 EST 2009
Fri Jan 09 13:48:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:49:18 EST 2009
Fri Jan 09 13:49:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:49:48 EST 2009
Fri Jan 09 13:49:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:50:18 EST 2009
Fri Jan 09 13:50:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:50:48 EST 2009
Fri Jan 09 13:50:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:51:18 EST 2009
Fri Jan 09 13:51:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:51:48 EST 2009
Fri Jan 09 13:51:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:52:18 EST 2009
Fri Jan 09 13:52:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:52:48 EST 2009
Fri Jan 09 13:52:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:53:18 EST 2009
Fri Jan 09 13:53:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:53:48 EST 2009
Fri Jan 09 13:53:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:54:18 EST 2009
Fri Jan 09 13:54:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:54:48 EST 2009
Fri Jan 09 13:54:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:55:18 EST 2009
Fri Jan 09 13:55:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:55:48 EST 2009
Fri Jan 09 13:55:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:56:18 EST 2009
Fri Jan 09 13:56:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:56:48 EST 2009
Fri Jan 09 13:56:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:57:18 EST 2009
Fri Jan 09 13:57:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:57:48 EST 2009
Fri Jan 09 13:57:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:58:18 EST 2009
Fri Jan 09 13:58:18 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:58:48 EST 2009
Fri Jan 09 13:58:48 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5000-cap/UDP,http://localhost/RBNB/DC8-5000-cap/UDP,304,---,---,---,---,Fri Jan 09 13:59:18 EST 2009
