Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Fri Jan 09 13:47:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,200,201,Fri Jan 09 13:47:49 EST 2009,Sun Jul 13 18:26:05 EDT 2008,---,Fri Jan 09 13:48:49 EST 2009
Fri Jan 09 13:48:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:49:49 EST 2009
Fri Jan 09 13:49:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:50:49 EST 2009
Fri Jan 09 13:50:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:51:49 EST 2009
Fri Jan 09 13:51:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:52:49 EST 2009
Fri Jan 09 13:52:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:54:49 EST 2009
Fri Jan 09 13:54:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:56:49 EST 2009
Fri Jan 09 13:56:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 13:58:49 EST 2009
Fri Jan 09 13:58:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 14:00:49 EST 2009
Fri Jan 09 14:00:49 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Fri Jan 09 14:02:49 EST 2009
