Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Fri Jan 09 12:51:33 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/waypoints_P3orion.kmz,http://localhost/RBNB/rtmm/waypoints_P3orion.kmz,404,---,---,---,---,Fri Jan 09 12:53:33 EST 2009
Fri Jan 09 12:51:33 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/WWLLN_P3orion.kmz,http://localhost/RBNB/rtmm/WWLLN_P3orion.kmz,404,---,---,---,---,Fri Jan 09 12:53:33 EST 2009
Fri Jan 09 12:51:33 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/VAILR_P3orion.kmz,http://localhost/RBNB/rtmm/VAILR_P3orion.kmz,404,---,---,---,---,Fri Jan 09 12:53:33 EST 2009
Fri Jan 09 12:51:40 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/NLDN_P3orion.kmz,http://localhost/RBNB/rtmm/NLDN_P3orion.kmz,404,---,---,---,---,Fri Jan 09 12:53:40 EST 2009
Fri Jan 09 12:51:40 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/POLARCAT_P3orion.png,http://localhost/RBNB/rtmm/POLARCAT_P3orion.png,404,---,---,---,---,Fri Jan 09 12:53:40 EST 2009
Fri Jan 09 12:51:40 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_vis_P3orion.png,200,201,Fri Jan 09 12:51:39 EST 2009,Tue Dec 23 13:39:50 EST 2008,---,Fri Jan 09 12:53:40 EST 2009
Fri Jan 09 12:51:41 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir3_P3orion.png,200,201,Fri Jan 09 12:51:41 EST 2009,Tue Dec 23 13:39:50 EST 2008,---,Fri Jan 09 12:53:41 EST 2009
Fri Jan 09 12:51:42 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir4_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir4_P3orion.png,200,201,Fri Jan 09 12:51:42 EST 2009,Tue Dec 23 13:39:51 EST 2008,---,Fri Jan 09 12:53:42 EST 2009
Fri Jan 09 12:51:42 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_vis_P3orion.png,404,---,---,---,---,Fri Jan 09 12:53:42 EST 2009
Fri Jan 09 12:51:43 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_ir3_P3orion.png,404,---,---,---,---,Fri Jan 09 12:53:43 EST 2009
