Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Wed Mar 19 16:24:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,200,201,Wed Mar 19 16:24:21 EDT 2008,Thu Feb 14 14:53:24 EST 2008,---,Wed Mar 19 16:24:50 EDT 2008
Wed Mar 19 16:24:50 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:25:20 EDT 2008
Wed Mar 19 16:25:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:25:50 EDT 2008
Wed Mar 19 16:25:50 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:26:20 EDT 2008
Wed Mar 19 16:26:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:26:50 EDT 2008
Wed Mar 19 16:26:50 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:27:20 EDT 2008
Wed Mar 19 16:27:20 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:27:50 EDT 2008
Wed Mar 19 16:27:50 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:28:20 EDT 2008
Wed Mar 19 16:28:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:28:51 EDT 2008
Wed Mar 19 16:28:51 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:29:21 EDT 2008
Wed Mar 19 16:29:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:29:51 EDT 2008
Wed Mar 19 16:29:51 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:30:21 EDT 2008
Wed Mar 19 16:30:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:30:51 EDT 2008
Wed Mar 19 16:30:51 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:31:21 EDT 2008
Wed Mar 19 16:31:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:31:51 EDT 2008
Wed Mar 19 16:31:51 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:32:21 EDT 2008
Wed Mar 19 16:32:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:32:51 EDT 2008
Wed Mar 19 16:32:51 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:33:21 EDT 2008
Wed Mar 19 16:33:21 EDT 2008,http://indscore.dfrc.nasa.gov/RBNB/P3B-5700-cap/UDP,http://localhost/RBNB/P3B-5700-cap/UDP,304,---,---,---,---,Wed Mar 19 16:33:51 EDT 2008
