Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Fri Oct 31 08:22:56 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/waypoints_P3orion.kmz,http://localhost/RBNB/rtmm/waypoints_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:24:56 GMT-05:00 2008
Fri Oct 31 08:22:57 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/WWLLN_P3orion.kmz,http://localhost/RBNB/rtmm/WWLLN_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:24:57 GMT-05:00 2008
Fri Oct 31 08:22:57 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/VAILR_P3orion.kmz,http://localhost/RBNB/rtmm/VAILR_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:24:57 GMT-05:00 2008
Fri Oct 31 08:22:57 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/NLDN_P3orion.kmz,http://localhost/RBNB/rtmm/NLDN_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:24:57 GMT-05:00 2008
Fri Oct 31 08:22:58 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/POLARCAT_P3orion.png,http://localhost/RBNB/rtmm/POLARCAT_P3orion.png,200,201,Fri Oct 31 08:22:57 GMT-05:00 2008,Thu Jun 05 06:43:35 GMT-05:00 2008,---,Fri Oct 31 08:24:58 GMT-05:00 2008
Fri Oct 31 08:22:58 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_vis_P3orion.png,200,201,Fri Oct 31 08:22:57 GMT-05:00 2008,Fri Oct 31 06:26:34 GMT-05:00 2008,---,Fri Oct 31 08:24:58 GMT-05:00 2008
Fri Oct 31 08:22:59 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir3_P3orion.png,200,201,Fri Oct 31 08:22:58 GMT-05:00 2008,Fri Oct 31 06:35:36 GMT-05:00 2008,---,Fri Oct 31 08:24:59 GMT-05:00 2008
Fri Oct 31 08:22:59 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir4_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir4_P3orion.png,200,201,Fri Oct 31 08:22:58 GMT-05:00 2008,Fri Oct 31 06:34:56 GMT-05:00 2008,---,Fri Oct 31 08:24:59 GMT-05:00 2008
Fri Oct 31 08:22:59 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_vis_P3orion.png,200,201,Fri Oct 31 08:22:58 GMT-05:00 2008,Wed Sep 03 00:59:39 GMT-05:00 2008,---,Fri Oct 31 08:24:59 GMT-05:00 2008
Fri Oct 31 08:23:00 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_ir3_P3orion.png,200,201,Fri Oct 31 08:23:00 GMT-05:00 2008,Wed Sep 03 03:15:58 GMT-05:00 2008,---,Fri Oct 31 08:25:00 GMT-05:00 2008
Fri Oct 31 08:23:01 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_ir4_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_ir4_P3orion.png,200,201,Fri Oct 31 08:23:00 GMT-05:00 2008,Wed Sep 03 03:15:00 GMT-05:00 2008,---,Fri Oct 31 08:25:01 GMT-05:00 2008
Fri Oct 31 08:24:56 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/waypoints_P3orion.kmz,http://localhost/RBNB/rtmm/waypoints_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:26:56 GMT-05:00 2008
Fri Oct 31 08:24:57 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/WWLLN_P3orion.kmz,http://localhost/RBNB/rtmm/WWLLN_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:26:57 GMT-05:00 2008
Fri Oct 31 08:24:57 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/VAILR_P3orion.kmz,http://localhost/RBNB/rtmm/VAILR_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:26:57 GMT-05:00 2008
Fri Oct 31 08:24:57 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/NLDN_P3orion.kmz,http://localhost/RBNB/rtmm/NLDN_P3orion.kmz,404,---,---,---,---,Fri Oct 31 08:26:57 GMT-05:00 2008
Fri Oct 31 08:24:58 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/POLARCAT_P3orion.png,http://localhost/RBNB/rtmm/POLARCAT_P3orion.png,304,---,---,---,---,Fri Oct 31 08:26:58 GMT-05:00 2008
Fri Oct 31 08:24:58 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_vis_P3orion.png,304,---,---,---,---,Fri Oct 31 08:26:58 GMT-05:00 2008
Fri Oct 31 08:24:59 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir3_P3orion.png,304,---,---,---,---,Fri Oct 31 08:26:59 GMT-05:00 2008
Fri Oct 31 08:24:59 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir4_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir4_P3orion.png,304,---,---,---,---,Fri Oct 31 08:26:59 GMT-05:00 2008
Fri Oct 31 08:24:59 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_vis_P3orion.png,304,---,---,---,---,Fri Oct 31 08:26:59 GMT-05:00 2008
Fri Oct 31 08:25:00 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_ir3_P3orion.png,304,---,---,---,---,Fri Oct 31 08:27:00 GMT-05:00 2008
Fri Oct 31 08:25:01 GMT-05:00 2008,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_ir4_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_ir4_P3orion.png,304,---,---,---,---,Fri Oct 31 08:27:01 GMT-05:00 2008
