Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Thu Jan 08 09:20:50 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,200,201,Thu Jan 08 09:20:49 EST 2009,Wed Nov 05 17:21:23 EST 2008,---,Thu Jan 08 09:21:10 EST 2009
Thu Jan 08 09:20:51 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_DEP.txt,http://localhost/RBNB/B200/B200_DEP.txt,200,201,Thu Jan 08 09:20:50 EST 2009,Wed Nov 12 12:47:12 EST 2008,---,Thu Jan 08 09:22:51 EST 2009
Thu Jan 08 09:20:56 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_ASR.txt,http://localhost/RBNB/B200/B200_ASR.txt,404,---,---,---,---,Thu Jan 08 09:22:56 EST 2009
Thu Jan 08 09:21:10 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:21:30 EST 2009
Thu Jan 08 09:21:30 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:21:50 EST 2009
Thu Jan 08 09:21:50 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:22:10 EST 2009
Thu Jan 08 09:22:10 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:22:30 EST 2009
Thu Jan 08 09:22:30 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:22:50 EST 2009
Thu Jan 08 09:22:50 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:23:10 EST 2009
Thu Jan 08 09:22:51 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_DEP.txt,http://localhost/RBNB/B200/B200_DEP.txt,304,---,---,---,---,Thu Jan 08 09:24:51 EST 2009
Thu Jan 08 09:22:56 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/B200/B200_ASR.txt,http://localhost/RBNB/B200/B200_ASR.txt,404,---,---,---,---,Thu Jan 08 09:24:56 EST 2009
Thu Jan 08 09:23:10 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:23:30 EST 2009
Thu Jan 08 09:23:30 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/INDS5/HASR/_CSV,http://localhost/RBNB/B200/B200_ASR_reduced.txt,304,---,---,---,---,Thu Jan 08 09:23:50 EST 2009
