Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = -1
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Wed Jan 14 09:15:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,200,201,Wed Jan 14 09:15:24 EST 2009,Sun Jul 13 18:26:05 EDT 2008,---,Wed Jan 14 09:16:23 EST 2009
Wed Jan 14 09:16:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:17:23 EST 2009
Wed Jan 14 09:17:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:18:23 EST 2009
Wed Jan 14 09:18:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:19:23 EST 2009
Wed Jan 14 09:19:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:20:23 EST 2009
Wed Jan 14 09:20:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:22:23 EST 2009
Wed Jan 14 09:22:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:24:23 EST 2009
Wed Jan 14 09:24:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:26:23 EST 2009
Wed Jan 14 09:26:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:28:23 EST 2009
Wed Jan 14 09:28:23 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/DC8-5001-DIAL-cap/UDP,http://localhost/RBNB/DC8-5001-DIAL-cap/UDP,304,---,---,---,---,Wed Jan 14 09:30:23 EST 2009
