Using SAX parser: com.sun.org.apache.xerces.internal.parsers.SAXParser
MKCOL response = -1
MKCOL response = -1
MKCOL response = 200
Local Date,Source URL,Dest URL,GET Code,PUT Code,Server Date,Server LastMod,Server Expires,Next Copy Date
Wed Jan 14 09:15:24 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/waypoints_P3orion.kmz,http://localhost/RBNB/rtmm/waypoints_P3orion.kmz,404,---,---,---,---,Wed Jan 14 09:17:24 EST 2009
Wed Jan 14 09:15:24 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/WWLLN_P3orion.kmz,http://localhost/RBNB/rtmm/WWLLN_P3orion.kmz,404,---,---,---,---,Wed Jan 14 09:17:24 EST 2009
Wed Jan 14 09:15:24 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/VAILR_P3orion.kmz,http://localhost/RBNB/rtmm/VAILR_P3orion.kmz,404,---,---,---,---,Wed Jan 14 09:17:24 EST 2009
Wed Jan 14 09:15:24 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/NLDN_P3orion.kmz,http://localhost/RBNB/rtmm/NLDN_P3orion.kmz,404,---,---,---,---,Wed Jan 14 09:17:24 EST 2009
Wed Jan 14 09:15:25 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/POLARCAT_P3orion.png,http://localhost/RBNB/rtmm/POLARCAT_P3orion.png,404,---,---,---,---,Wed Jan 14 09:17:25 EST 2009
Wed Jan 14 09:15:25 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_vis_P3orion.png,200,201,Wed Jan 14 09:15:27 EST 2009,Wed Jan 14 09:11:38 EST 2009,---,Wed Jan 14 09:17:25 EST 2009
Wed Jan 14 09:15:26 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir3_P3orion.png,200,201,Wed Jan 14 09:15:27 EST 2009,Wed Jan 14 09:10:45 EST 2009,---,Wed Jan 14 09:17:26 EST 2009
Wed Jan 14 09:15:26 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-12_ir4_P3orion.png,http://localhost/RBNB/rtmm/GOES-12_ir4_P3orion.png,200,201,Wed Jan 14 09:15:28 EST 2009,Wed Jan 14 09:09:51 EST 2009,---,Wed Jan 14 09:17:26 EST 2009
Wed Jan 14 09:15:27 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_vis_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_vis_P3orion.png,404,---,---,---,---,Wed Jan 14 09:17:27 EST 2009
Wed Jan 14 09:15:27 EST 2009,http://indscore.dfrc.nasa.gov/RBNB/rtmm_ARCTAS_aircraft/GOES-11_ir3_P3orion.png,http://localhost/RBNB/rtmm/GOES-11_ir3_P3orion.png,404,---,---,---,---,Wed Jan 14 09:17:27 EST 2009
